Product Name,Category,List_Price,Special_price,Description,Rating,Img_url,Product_url
Height Adjuster with Safety Snap for Therapy Equipment Suspension,Pediatric Swings and Swing Frames Accessories,$292.02,$204.21,"Southpaw's Height Adjuster and Therapy Ropes help to ensure safety when hanging equipment, such as slings and swings. The 1000 lb capacity of the Height Adjuster helps to ensure safety. The Therapy Ropes come in 3 to 10 feet and are made of durable materials to work with the Height Adjuster for easy adjustments.",2 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/sp_5000_16.jpg&quality=80&newwidth=480,https://www.rehabmart.com/product/height-adjuster-37834.html
Advantage Line Platform Swing,Pediatric Swings and Swing Frames,$543.96,$380.39,"The Advantage Line Platform Swing is designed to be long-lasting and durable, designed to help with sensory integration therapy. This platform swing offers a way for therapists to be able to create a wide range of tilting movements that are controlled by lines attached to discs at the top. This swing is highly versatile and can be used in both seated and prone positions, it can even be used in a standing position. This swing has a weight capacity of 300 pounds and includes both a carpeted pad and a vinyl pad to adjust the seat based on user preference.
		
 This product was featured in the following articles: Top 5 Sensory Swings for Special Needs

Notice: This unique custom fabricated item is made-to-order using a ""Just in Time"" manufacturing process. This is designed to keep your cost lower, but may require an additional 10 - 12 week lead time before your product ships.

Note: This product is for sale in the United States only and is ineligible for International Shipping.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/121.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/advantage-line-platform-swing-37862.html
Acrobat Swing Hammock for Play Therapy or Calming,Pediatric Swings and Swing Frames,$968.00,$727.82,"Southpaw's Acrobat Swing Hammock for Play Therapy or Calming is a versatile stretchable swing that provides both vestibular and proprioceptive input. Ideal for use in therapy, school, or home settings, the Lycra swing stretches in 4 different directions and can be hung by 2, 3, or 4 attachment points. Hung from 2 different points like a hammock, the fabric therapy swing provides deep pressure stimulation, which helps the proprioceptive system understand where the body is in space. Clients can climb through of the swings 4 layers when attached at 3 or 4 attachment points. Choose from a Silver or Rainbow version.
		
 This product was featured in the following articles: The Occupational Therapist's Master Guide for Children's Adaptive Equipment

Notice: This unique custom fabricated item is made-to-order using a ""Just in Time"" manufacturing process. This is designed to keep your cost lower, but may require an additional 4 week lead time before your product ships.

Note: This product is for sale in the United States only and is ineligible for International Shipping.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/acrobat.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/acrobat-swings-37849.html
Variable Axis Sensory Therapy Swing for Special Needs,Pediatric Swings and Swing Frames,"$1,365.52","$1,026.71","Southpaw's lightweight and angle adjustable Variable Axis Swing allows for linear movement, and by adding a Safety Rotational Device (sold separately), rotational movement can be accomodated too.  Knobs on the side of the swing seat allow for positioning the client on a vertical or horizontal plane while swinging. For easy storage and portability, the swing folds up. The Variable Axis Swing comes with a removable cover that is machine washable in cold water. Choose from a Variable Axis Swing with or without a length and angle adjustable footrest. The footrest can also be purchased on its own. Shipping is free for continental US only. Made in USA.

 This product was featured in the following articles: The 5 Best Handicap Friendly Swing SeatsTop 5 Sensory Swings for Special Needs5 Best Vestibular Therapy Tools to Improve Balance & Dizziness

Notice: This unique custom fabricated item is made-to-order using a ""Just in Time"" manufacturing process. This is designed to keep your cost lower, but may require an additional 8 - 10 week lead time before your product ships.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/axis.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/variable-axis-swing1-37861.html
Safety Rotational Device,Pediatric Swings and Swing Frames Accessories,$180.28,$126.07,"Because rotation is an important part of many therapy activities, our safety rotational device features a solid metal body with smooth roller bearings for free rotation. The Safety Rotational Device clips to your ceiling bolt with a Safety Snap.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/SPW-2000-Safety Rotational Device_Pediatric Swings and Swing Frames Accessories_Vestibular.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/safety-rotational-device-37842.html
Steamroller Deluxe for Pediatric Sensory Play,Vestibular,"$1,299.16",$976.81,"Southpaw's Steamroller Deluxe for Pediatric Sensory Play helps organize the central nervous system with deep pressure therapy that stimulates the proprioceptive system. Also known as the Squeeze Machine, the therapeutic device is designed with rollers that the client works their body through in a prone position. Tension bands located on the side of the Steamroller adjust the pressure, depending on sensory needs. Clients are challenged to work their body out of the device, which helps with motor planning, body awareness, and shoulder stability skills. The Steamroller Deluxe accommodates small children to average sized adults and includes 2 sets of bands. Colors may vary.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/spw-150040_steamroller deluxe_vestibular.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/steamroller-deluxe-37860.html
Tumble Forms II Deluxe Vestibulator II System,Pediatric Tumble Forms Vestibulator Therapy,"$4,880.98","$3,669.91","The Tumble Forms II Deluxe Vestibulator II System offers all the benefits of a ceiling suspension system without installation costs and concerns. The Tumble Forms II Deluxe Vestibulator II System has the capacity to accommodate a wide range of therapy modules of vestibular, neurodevelopmental, and sensory integration therapy. It can be used with various accessories to provide vertical stimulation and direct flexion, linear acceleration, rotational experiences, and a complete range of motion exercises. The Tumble Forms II Deluxe Vestibulator II System can be adjusted in height to allow quick changes to the proper position.
		
 This product was featured in the following articles: 25 Tools Every Occupational Therapist Should Know How to Use

Notice: This unique custom fabricated item is made-to-order using a ""Just in Time"" manufacturing process. This is designed to keep your cost lower, but may require an additional 40 days lead time before your product ships.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/2784_3~3.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/tumble-forms-ii-deluxe-vestibulator-ii-system-9085.html
C-Stand & Linear Motion Bar Therapy Swing Suspension System,Pediatric Swings and Swing Frames,"$8,345.64","$6,274.92","Southpaw's C-Stand & Linear Motion Bar is a freestanding padded base and rotational device used for providing swing therapy. The flat, padded base built on the C-Stand & Linear Motion Bar provides a stable, strong support platform without frame legs to trip on or interfere with treatment. Consisting of 2 pieces, the C-Stand has a simplified design that is easy to assemble and disassemble. An exclusive height adjustment strap, which helps eliminate metal to metal contact and wear, makes adjusting for height easy. For maintenance purposes, all bearings and eye bolts can be replaced when needed.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/spw-7101-c-stand frame_pediatric swings and swing frames_vestibular.jpg&quality=80&newwidth=223,https://www.rehabmart.com/product/cstand-frame1-37836.html
Adult Cuddle Swing - Cocoon Sensory Therapy Swing for Autism,Pediatric Swings and Swing Frames,$548.10,$383.29,"The Adult Cuddle Swing - Cocoon Sensory Therapy Swing for Autism is designed to provide a deep touch pressure and vestibular stimulation to help focus on organizing input and enhance soothing, relaxing, and calming emotions. The cuddle swing is made of soft and comfortable, stretch double knit nylon combined with durable and long-lasting Cordura fabric. One side of the swing is designed with a taller cut than the other side to provide an all-encompassing natural seat for the user.

Shipping is free for continental US only.

 This product was featured in the following articles: Who Needs Sensory Integration Therapy?What is a Sensory Room, and How Do I Create One?

Notice: This unique custom fabricated item is made-to-order using a ""Just in Time"" manufacturing process. This is designed to keep your cost lower, but may require an additional delay due to global shortages: up to a 6-8 Week lead time before your product ships.

Note: This product is for sale in the United States only and is ineligible for International Shipping.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/120.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/adult-cuddle-swing-37853.html
Modified Platform Therapy Swing,Pediatric Swings and Swing Frames,$899.35,$676.20,"Similar to Southpaw's Platform Swing but with a larger top disc, the Modified Platform Swing provides more room inside of the swing space for accommodating adult clients. Ideal for children as well, the Modified Platform Swing is made with a flat swing base that allows the client to be positioned in a variety of ways, including sitting, kneeling, prone, and supine positions. By adding a Southpaw Safety Rotational Device, the swing can move rotationally for more vigourous vestibular stimulation. A variety of gross motor skill activities can be used with the swing to stimulate the proprioceptive system and encouraging self regulation that focuses and calms the client.

You can replace the carpet with a vinyl pad (sold separately, below). A vinyl pad is easier to clean and disinfect between clients. The vinyl pad attaches to the swing with velcro, and it lays on top of the swing's platform.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/modified2.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/modified-platform-swing-37856.html
